************* Module generated_code_81
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:3:0: W0311: Bad indentation. Found 2 spaces, expected 4 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:24:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:25:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:26:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:27:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:28:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:29:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:30:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:31:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:32:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:33:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:34:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:35:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:36:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:37:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:38:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:39:0: W0311: Bad indentation. Found 4 spaces, expected 8 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:40:0: W0311: Bad indentation. Found 6 spaces, expected 12 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:42:0: W0311: Bad indentation. Found 2 spaces, expected 4 (bad-indentation)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:1:0: C0114: Missing module docstring (missing-module-docstring)
C:\Users\pc\Documents\Case-Study-on-Code-Quality-of-AI-Assisted-Code-Generation-Tools\generalized tools\Gemini\Generated Codes\generated_code_81.py:2:0: R0912: Too many branches (14/12) (too-many-branches)

------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 0.00/10, +0.00)

